name;id;popularity;embedding
Ozuna;1i8SpTcr7yvPOmcqrbnVXY;89;"[-0.6059934  -0.40288362  3.9333918  -2.1197748  -3.1889822  -0.6610667
  5.606091    2.1012976  -0.6865268   2.3618839   1.3699182  -1.5973481
  2.7693746  -3.4342053  -3.0802548   2.8335288 ]"
Post Malone;246dkjvS1zLTtiykXe5h60;89;"[-1.7821056  -2.124724    1.1757418  -0.5284951  -3.1112115  -4.369224
 -1.1714951   0.56301546  1.4767376  -2.566723    1.1889467  -0.07817277
  0.45837477  1.686184   -1.9321272  -2.1692553 ]"
Tyler, The Creator;4V8LLVI7PbaPR0K2TGSxFF;89;"[-1.9373271  -3.369221   -0.2579177  -1.0011705  -1.5646529  -2.647361
 -1.0297937   0.43597692  2.2642171  -2.8559687   1.1163903  -1.6065551
 -0.7434414   0.89433056 -2.2019098  -0.86076677]"
Bruno Mars;0du5cEVh5yTK9QJze8zA0C;88;"[ 0.00250433 -0.10382107  0.70988655 -1.1122165  -2.311321   -2.273758
 -1.5346012  -0.7873263  -0.7952059   0.3323656  -0.5186105   0.200558
  0.82919645  1.9877023   0.28990942 -1.9790144 ]"
Chris Brown;7bXgB6jMjp9ATFy66eO08Z;88;"[-2.3728843  -0.8821498   0.13338566 -1.9576504  -2.25545    -4.8619413
 -1.0356997  -0.858754    0.3012091   0.0897128  -1.049278    0.33097303
 -0.10302998  1.8891217  -1.121983   -1.9419762 ]"
Daddy Yankee;4VMYDCV2IEDYJArk749S6m;88;"[-1.396704    0.65769213  3.7884336  -2.275246   -2.3390899  -1.7585722
  4.281296    0.6863527  -0.624047    3.5089417   1.7072693  -1.416962
  2.2575345  -1.8561429  -2.7747746   2.3917673 ]"
Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;88;"[ 1.2370676  -1.4952793   1.5803732   0.9901655  -2.5194235  -1.7885474
  1.6382204  -0.17617312 -2.1539001  -1.5792456  -0.0806466   1.2455547
  1.5366027   1.8407613  -0.5332056  -2.5673237 ]"
Myke Towers;7iK8PXO48WeuP03g8YR51W;88;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;87;"[ 0.95659536 -3.9669094  -0.55476546 -1.8828485   0.41843712  1.4693574
 -2.7485964  -0.6492736   0.12161661  1.6597677   1.8682392   0.5220199
 -0.6838627   2.8840473  -1.1358973  -1.2550817 ]"
Beyoncé;6vWDO969PvNqNYHIOW5v0m;87;"[-1.2629741  -0.572447   -0.2392938  -2.178701   -1.9981114  -3.1560974
 -1.1094275  -1.5268846  -0.69124234  0.96386987 -1.7469425   0.31122214
  0.17060737  1.8729442   0.11959314 -2.1918364 ]"
Calvin Harris;7CajNmpbOovFoOoasH2HaY;87;"[-0.9470393  -1.1035486   2.2164772   0.01473679 -1.4623128  -2.286588
 -0.30124933 -0.50352556 -0.7478538  -0.25765407 -1.2004104   1.0510013
  0.2750488   2.950344   -1.5549662  -1.3438683 ]"
Doja Cat;5cj0lLjcoR7YOSnhnX0Po5;87;"[ 0.35212806 -2.00575    -0.152751    0.65618455 -1.3590977  -0.2659362
  1.3231491   0.40748325  0.8920566  -1.3136275  -0.58244926 -0.53896004
 -1.2221228   0.09711694 -0.57496905 -0.02667177]"
Eladio Carrion;5XJDexmWFLWOkjOEjOVX3e;87;"[ 0.11750998  0.22061361  0.5357714   0.04252872  0.07266401  0.17362663
  1.8972875   0.4762967  -0.02006206  0.4204104   0.24732418 -0.47372818
  0.46371302 -1.1634419  -0.28665763  0.81027657]"
J Balvin;1vyhD5VmyZ7KMfW5gqLgo5;87;"[-0.5668931  -0.20092     3.9185019  -1.4387376  -3.7500556  -1.4170519
  4.295137    1.0776517  -1.0855743   1.750859    1.6352383  -0.7681866
  1.9933059  -0.81632745 -2.9526658   2.1543748 ]"
J. Cole;6l3HvQ5sa6mXTsMTB19rO5;87;"[-2.6239862  -2.3275917   1.080059   -1.2214426  -2.3982115  -4.649419
 -1.3591156  -0.24373128  2.1544435  -1.3394623   0.66630554 -0.06064652
 -0.46452025  1.716767   -1.8618308  -1.7765937 ]"
Lil Uzi Vert;4O15NlyKLIASxsJ0PrXPfz;87;"[-2.0981042  -1.9818759   1.0727794  -0.8183742  -2.9960659  -5.341393
 -1.3772706   0.73582625  2.2204905  -3.1013124   1.6962965  -0.2804626
  1.1415644   1.1299812  -2.7020614  -2.0957603 ]"
Linkin Park;6XyY86QOPPrYVGvF9ch6wz;87;"[ 0.7428551  -0.11554182 -1.3558453   0.8582793   1.9912319  -2.6021867
 -1.6928475   0.5814912   0.39946634  1.8836535   3.1976206   1.0729637
  0.35029978  4.101124    1.109092   -0.43467608]"
Nicki Minaj;0hCNtLu0JehylgoiP8L4Gh;87;"[-2.6161335  -0.662327    0.50359464 -1.6005659  -1.8108848  -4.0492477
 -1.0249106  -0.8705084  -0.6166889   0.1501265  -0.76348084 -0.0325635
 -0.30473945  2.2715936  -1.1312034  -2.700667  ]"
Pritam;1wRPtKGflJrBx9BmLsSwlU;87;"[ 1.7285343  0.4575726 -1.5013384  2.8740683  6.115962  -2.0840414
  2.5457366  1.916876  -3.01697   -3.0995042 -3.2687173 -2.998134
  1.371266  -3.748998  -1.090854  -0.3308395]"
ROSALÍA;7ltDVBr6mKbRvohxheJ9h1;87;"[ 0.24642259  0.02821659 -0.08423546  0.14909731  0.59317935  0.6346534
  0.7524347   0.27475888  0.07427452  0.04170731  0.1137835  -0.53749263
 -0.35630724 -0.32104132 -0.02674329  0.3587229 ]"
Sam Smith;2wY79sveU1sp5g7SokKOiI;87;"[ 1.0661314  -0.5260911   0.6042328  -0.1476573  -2.6780703  -0.5000765
 -1.9746163  -0.5573302   0.09550841  1.5783364  -1.1560615  -0.82755893
  0.8271307   2.4283361   0.41693586 -2.3891954 ]"
XXXTENTACION;15UsOTVnJzReFVN1VCnxy4;87;"[-1.5301867  -2.4511287   0.26312554 -0.5116757  -2.844076   -4.1979003
 -0.6636112   1.8709979   1.9902563  -3.5334516   1.9151721  -0.8561711
  1.3632671  -0.22518827 -2.355861   -2.1746666 ]"
$uicideBoy$;1VPmR4DJC1PlOtd0IADAO0;86;"[-1.5463426  -1.654977    0.26330853  0.01265746 -0.20149529 -2.5513551
 -0.15146293  1.7941878   1.4409748  -3.3851345   1.9866735  -1.0633363
 -0.41769025 -0.50915945 -1.608503   -0.1167502 ]"
Adele;4dpARuHxo51G3z768sgnrY;86;"[ 0.80326235 -0.04373238  0.7892398  -0.6794952  -2.3226693  -0.693215
 -2.0558226  -1.1296     -0.27256617  1.3876143  -1.1051811   0.02414069
  0.75058997  2.0024705   1.2745441  -2.4908137 ]"
Arcangel;4SsVbpTthjScTS7U2hmr1X;86;"[-1.290022    0.08680394  3.502264   -1.5403216  -1.3822052  -0.52687365
  5.818137    1.6438216   0.01026866  3.0161314   1.2334236  -2.0247235
  2.3857315  -3.3284855  -3.5633028   2.508382  ]"
BLACKPINK;41MozSoPIsD1dJM0CLPjZF;86;"[ 0.7532115  -0.16970421 -0.6141385   4.1621475   0.76636493  0.7370881
  4.127778    2.3404675  -0.28990248 -0.7661633   0.20273614 -0.61650187
  0.94994354 -1.2516786  -0.37636805 -3.578285  ]"
Kali Uchis;1U1el3k54VvEUzo3ybLPlM;86;"[ 0.27413768 -3.7452545  -0.95723647  0.36950964 -1.2459445   0.6971417
  1.3701614   1.0535102   1.5316076  -1.2165745  -0.56153154 -0.7252339
 -1.7186071  -0.27246842 -1.1556983  -0.2795436 ]"
Khalid;6LuN9FCkKOj5PcnpouEgny;86;"[-0.26916465 -2.792906    1.0371773  -0.4926649  -3.8008723  -3.3051147
 -1.1373435   0.61829805  0.48159733 -2.1485722   0.06344627  0.1766833
  0.6642572   1.1873077  -1.0178416  -2.5980725 ]"
Lady Gaga;1HY2Jd0NmPuamShAr6KMms;86;"[-0.21965659 -0.60956776  0.01693084 -1.6807927  -0.8211215  -1.9889058
 -0.91484225 -1.1547799  -2.6305256   0.8486589  -0.9350401   0.4770323
  0.57946426  1.973565    0.6727083  -2.4767692 ]"
Lil Wayne;55Aa2cqylxrFIXC767Z865;86;"[-2.6313016  -0.9872702   0.5624516  -1.4402989  -1.439913   -5.505539
 -1.6591468  -0.62033886  0.74786144 -0.01482358  0.525432   -0.0126484
 -0.8415071   2.2018414  -1.3012953  -1.8519181 ]"
